时刻,日前电价,实时电价,地方电厂总加预测值,联络线受电负荷预测值,风电总加预测值,光伏总加预测值,核电总加预测值,自备机组总加预测值,试验机组总加预测值,直调负荷预测值,竞价空间预测值,新能源总加预测值,地方电厂总加实际值,联络线受电负荷实际值,风电总加实际值,光伏总加实际值,核电总加实际值,自备机组总加实际值,试验机组总加实际值,直调负荷实际值,竞价空间实际值,新能源总加实际值
2022/1/1 1:00,277.35,150.9575,8140,9412.0,8930.405,0.0,2465.0,4815.0,0,60165.135,26402.73,8930.405,8138.1105,10414.0712,9161.15,-5.9225,2466.2175,4891.83,0.0,57775.9629,22710.5062,9155.2275
2022/1/1 2:00,274.5,123.925,8140,8377.0,9203.1,0.0,2465.0,4815.0,0,58901.3925,25901.2925,9203.1,8147.6774,9570.5045,9633.4325,-5.89,2467.12,4905.7325,0.0,56396.4082,21677.8313,9627.5425
2022/1/1 3:00,256.4925,8.93,8140,8023.0,9437.2575,0.0,2465.0,4815.0,0,57836.095,24955.8375,9437.2575,8153.4923,9236.0576,10002.9275,-6.1075,2467.785,4874.355,0.0,55270.7354,20542.2255,9996.82
2022/1/1 4:00,238.18,-80.0,8140,8023.0,9667.0875,0.0,2465.0,4815.0,0,57091.075,23980.9875,9667.0875,8163.1714,9038.3808,10585.1425,-6.025,2468.695,4829.3475,0.0,54293.8496,19215.1374,10579.1175
2022/1/1 5:00,238.45,-13.25,8140,8023.0,9925.3275,0.0025,2465.0,4815.0,0,57023.34,23655.01,9925.33,8148.0881,9160.0395,11074.515,-6.2775,2468.645,4814.3825,0.0,54202.2656,18542.873,11068.2375
2022/1/1 6:00,264.6,77.7225,8140,8094.25,10207.7,2.9,2465.0725,4815.0,0,58543.8525,24818.93,10210.6,8137.0586,9199.3284,11179.71,-6.0125,2467.5475,4806.9525,0.0,55023.0879,19238.5034,11173.6975
2022/1/1 7:00,268.165,176.8525,8140,8806.75,10395.7625,9.1225,2466.715,4815.0,0,60611.635,25978.285,10404.885,8178.7133,9888.4257,11591.8625,-6.19,2467.455,4825.47,0.0,56030.5088,19084.7723,11585.6725
2022/1/1 8:00,325.68,204.9725,8140,9736.75,10432.335,219.5375,2513.2475,4815.0,0,63518.72,27661.85,10651.8725,8167.8383,11108.3237,12096.6825,70.74,2468.2625,4776.095,0.0,58674.5615,19986.6195,12167.4225
2022/1/1 9:00,292.165,-7.75,8140,10895.75,10326.8325,1322.905,2750.67,4815.0,0,66384.555,28133.3975,11649.7375,8172.7799,12810.0067,11105.6325,1048.2025,2467.025,4756.935,0.0,60377.9678,20017.3862,12153.835
2022/1/1 10:00,158.9575,-80.0,8140,12093.0,9148.6925,2869.5925,3059.785,4815.0,0,66157.395,26031.325,12018.285,8175.8312,13364.7134,7916.005,2017.0325,2467.31,4767.9575,0.0,58050.1748,19341.3252,9933.0375
