feature_name,source_family
feat_地方电厂总加预测值,forecast_or_engineered_forecast
feat_联络线受电负荷预测值,forecast_or_engineered_forecast
feat_风电总加预测值,forecast_or_engineered_forecast
feat_光伏总加预测值,forecast_or_engineered_forecast
feat_核电总加预测值,forecast_or_engineered_forecast
feat_自备机组总加预测值,forecast_or_engineered_forecast
feat_试验机组总加预测值,forecast_or_engineered_forecast
feat_直调负荷预测值,forecast_or_engineered_forecast
feat_竞价空间预测值,forecast_or_engineered_forecast
feat_新能源总加预测值,forecast_or_engineered_forecast
feat_pred_net_load,forecast_or_engineered_forecast
feat_pred_supply_sum,forecast_or_engineered_forecast
feat_pred_pressure_ratio,forecast_or_engineered_forecast
feat_pred_renewable_share,forecast_or_engineered_forecast
feat_pred_load_ramp_1,forecast_or_engineered_forecast
feat_pred_space_ramp_1,forecast_or_engineered_forecast
delta_lag_1,historical_delta_shifted
delta_lag_24,historical_delta_shifted
delta_roll_mean_6,historical_delta_shifted
delta_roll_mean_24,historical_delta_shifted
delta_roll_std_24,historical_delta_shifted
delta_abs_roll_mean_24,historical_delta_shifted
hour,calendar_or_anchor
month,calendar_or_anchor
day_of_week,calendar_or_anchor
day_of_month,calendar_or_anchor
is_weekend,calendar_or_anchor
segment_id,calendar_or_anchor
da_anchor,calendar_or_anchor
