ds,business_day,hour_business,period,event_type,threshold,value,trigger,true_price,dayahead_price,load_actual,load_forecast,wind_actual,solar_actual,renewable_actual,renewable_forecast,bidding_space_actual,tie_line_actual,net_load_actual,renewable_penetration,spread
2025-11-01 08:00:00,2025-11-01,8,1_8,high_spike,440.91,444.53,rt>441,444.527,391.957,66957.9078,65257.575,6995.015,2197.3875,9192.4025,12920.6525,25692.939,19917.538,57765.505300000004,0.13728628627531783,
2025-11-01 09:00:00,2025-11-01,9,9_16,high_spike,406.94,410.48,rt>407,410.48,111.82,66690.0115,62415.7775,6493.81,6285.385,12779.195,18340.115,20535.2317,21133.9251,53910.81649999999,0.1916208246280448,
2025-11-01 10:00:00,2025-11-01,10,9_16,spread_extreme,332.98,461.05,|rt-da|>333,365.548,-95.501,61670.9475,56500.12,5878.06,11538.5325,17416.5925,22480.1925,10268.5368,21756.1723,44254.355,0.2824116249742374,461.049
2025-11-01 18:00:00,2025-11-01,18,17_24,high_spike,478.41,483.45,rt>478,483.447,433.514,73439.4825,74456.5775,5217.6175,-15.305,5202.3125,7624.56,32476.42,23448.9072,68237.17,0.07083808766342573,
2025-11-02 05:00:00,2025-11-02,5,1_8,low_valley,52.51,49.96,rt<53,49.963,229.944,56412.2613,57725.5,17045.625,-13.825,17031.8,16298.9875,8329.0205,18670.082,39380.461299999995,0.30191663309516775,
2025-11-02 05:00:00,2025-11-02,5,1_8,spread_extreme,160.79,179.98,|rt-da|>161,49.963,229.944,56412.2613,57725.5,17045.625,-13.825,17031.8,16298.9875,8329.0205,18670.082,39380.461299999995,0.30191663309516775,179.981
2025-11-02 17:00:00,2025-11-02,17,17_24,high_spike,478.41,555.6,rt>478,555.599,608.851,68340.7375,70092.4025,4780.34,1798.74,6579.08,6730.0775,26311.0583,23051.375,61761.6575,0.09626878842267851,
2025-11-02 18:00:00,2025-11-02,18,17_24,high_spike,478.41,631.79,rt>478,631.7913,620.943,73571.02,74698.5925,4730.28,-16.15,4714.13,4881.2825,32890.4748,23506.6179,68856.89,0.06407590922837879,
2025-11-02 19:00:00,2025-11-02,19,17_24,high_spike,478.41,612.57,rt>478,612.574,621.236,72014.005,73487.8475,4966.5425,-14.845,4951.6975,4690.2375,31106.2036,23537.0146,67062.30750000001,0.06876020156513164,
2025-11-02 20:00:00,2025-11-02,20,17_24,high_spike,478.41,606.33,rt>478,606.3318,621.164,71152.821,72455.22,5069.6925,-14.715,5054.9775,4507.0975,30265.9529,23421.3675,66097.8435,0.07104395058756083,
2025-11-02 21:00:00,2025-11-02,21,17_24,high_spike,478.41,611.14,rt>478,611.145,620.72,70685.879,71764.445,5370.2975,-14.8125,5355.485,4323.505,30197.6915,22729.7402,65330.394,0.07576456677071744,
2025-11-02 22:00:00,2025-11-02,22,17_24,high_spike,478.41,607.03,rt>478,607.0308,620.315,69287.174,70576.355,5811.3775,-14.7625,5796.615,4127.3025,29952.5642,21119.8114,63490.559,0.08366072195646762,
2025-11-02 23:00:00,2025-11-02,23,17_24,high_spike,478.41,605.49,rt>478,605.4865,620.0,64533.4217,65968.6675,5981.83,-10.7925,5971.0375,3933.065,27096.5626,19076.0089,58562.3842,0.09252628082906593,
2025-11-03 00:00:00,2025-11-02,24,17_24,high_spike,478.41,594.96,rt>478,594.955,618.623,61087.77,62920.9925,6111.0,-10.5875,6100.4125,3844.0725,25615.8695,16986.963,54987.3575,0.09986307404905057,
2025-11-03 01:00:00,2025-11-03,1,1_8,high_spike,440.91,446.71,rt>441,446.715,454.232,58958.2193,59579.115,6065.305,-13.965,6051.34,4188.3425,23316.7751,17207.9166,52906.8793,0.10263776740240903,
